Modèles;MSE;RMSE;MAE;R2;Train Score;Test Score
Random Forest Regressor;16397703.12227088;4049.4077495691736;2674.09419966004;0.896020966866218;0.9666335521670121;0.896020966866218
Decision Tree Regressor;29045208.773061696;5389.360701703097;3043.794769496822;0.815822209801445;1.0;0.815822209801445
XGB Regressor;32326758.420690354;5685.662531375772;3693.7018972046085;0.7950136638120067;0.9941788622132895;0.7950136638120067
ElasticNet Regression;435542165.38175243;20869.646987473276;14177.932933309165;-1.7618046812837194;0.9999950976791337;-1.7618046812837194
Lasso Regression;435543889.1567265;20869.68828604602;14178.00085808929;-1.7618156118667287;0.9999950973031592;-1.7618156118667287
Ridge Regression;435555259.5550674;20869.960698455267;14178.59072488857;-1.7618877123930656;0.9999951018427786;-1.7618877123930656
Linear Regression;435555262.0323202;20869.96075780499;14178.590767509359;-1.7618877281015064;0.9999951018427786;-1.7618877281015064
